

Day 1
ability  n. 能力；才能                
healthy  a. 健康的，健壮的 
hear (heard, heard)  v. 听见；听说,得知 
hearing  n. 听力 
heart  n.心.心脏, 纸牌中的红桃 
heat  n. 热 vt. 把……加热 
heavy  a. 重的 
height  n. 高，高度 
hello  int. 喂；你好（表示打招呼，问候或唤起注意） 
help  n. & vt. 帮助，帮忙 
her  pron. 她(宾格),她的 
here  ad. 这里，在这里；向这里 
hers  pron. 她的 
herself  pron. 她自己 
hi  int. 你好（表示打招呼、问候或唤起注 意）
hide (hid, hidden)  v. 把…藏起来，隐藏 
high  a. 高的;高度的 ad. 高地
hill  n. 小山;丘陵;土堆;斜坡 
him  pron. 他（宾格） 
himself  pron. 他自己 
his  pron. 他的 
history  n. 历史，历史学 
hit (hit, hit)  n.& vt. 打,撞,击中,突然想到
hold (held, held)  vt.拿；抱；握住；举行；进行 
hole  n. 洞，坑 
holiday  n. 假日；假期 
holy  a. 神圣的 
home  n. 家 ad. 到家；回家 
hope  n.& v. 希望 
horse  n. 马 
hospital  n. 医院 
hot  a. 热的 
hotel  n. 旅馆，饭店，宾馆 
hour  n. 小时 
house  n. 房子；住宅 
how  ad.怎样,如何；多少；多么 
however  ad. 可是 conj. 然而，可是，尽管如此 
huge  a. 巨大的，庞大的 
human  a. 人的，人类的
hunt  vt. 寻找；狩猎，猎取 
husband  n. 丈夫
I  pron. 我 
ice  n. 冰 
ice--cream  n. 冰淇淋 

Day14
idea  n. 主意,意见,打算,想法 
identity  n. 身份，特征
identification  n. 鉴定，辨别 
if  conj.如果,假使,是否,是不是 
ignore  v. 忽视，对…不理会
illegal  a. 非法的 
illness  n. 疾病 
imagine  vt. 想像，设想 
immediately  ad. 立即 
importance  n. 重要性 
important  a. 重要的 
impossible  a. 不可能的 
impress  vt. 留下极深的印象 
impression  n. 印象，感觉 
improve  vt. 改进，更新 
in  prep. 在…里(内)；在…；以… ad. 在家，在内，向内 
inch  n. 英寸 
incident  n. 事件 
include  vt. 包含，包括 
income  n. 收入，所得 
increase  v. & n. 增加，繁殖 
independent  a.独立的,有主见的 
Indicate  v.表明，象征，暗示 
industry  n. 工业，产业
influence  n.& v. 影响 
inform  vt. 告诉； 通知 
information  n. 信息 
injury  n. 受伤处 
inside  prep.在…里面 ad.在里面 
insist  vi. 坚持；坚决认为 
instead  ad. 代替，顶替 
institution  n. (慈善、宗教等性质的)公共机构； 学校 
instruction  n. 说明,须知;教导 
instrument  n. 乐器;工具,器械 
insurance  n. 保险 
intend  vt. 想要，打算 
intention  n. 打算,计划,意图
interest  n. 兴趣，趣味;利息 
interesting  a. 有趣的 
international  a. 国际的 
internet  n. 互联网，英特网 
interview  n.& vt.采访,会见,面试 
into  prep. 到…里;向内；变成 
introduce  vt. 介绍 
introduction  n. 引进，介绍 
invent  vt. 发明，创造 
invention  n. 发明，创造 
invitation  n. 邀请，请帖 
invite  vt. 邀请，招待 
iron  n. 铁，熨斗 vt. 熨烫 
island  n. 岛 
it  pron. 它 
its  pron. 它的 
itself  pron. 它自己 
jacket  n. 短上衣，夹克衫 
jeans  n. 牛仔裤 
jewellery  n. （总称）珠宝 
job  n. （一份）工作 
join  v.参加,加入;连接;会合 
judge  n. 裁判；审判员；法官vt. 判断，断定 

Day15
judgement  n. 裁判 
juice  n. 汁、液 
juicy  a. 多汁的；水分多的 
jump  n. 跳跃；跳变 v. 跳跃；惊起；猛扑 
junior  a. 初级的；年少的 
just  ad. 刚才；恰好；不过；仅 a. 公正的 
justice  n. 正义；公正；司法 
keep (kept, kept)  v. 保持；保存；继续不断 vt. 培育，饲养 
key  n. 钥匙;答案;键;关键 
keyboard  n. 键盘 
kick  v.& n. 踢 
kid  n. 小孩 
kill  v. 杀死，弄死 
kilo  n. 千克；千米 
kilogram  n. 千克 
kind  n. 种;类 a. 善良,友好的 
king  n. 国王 
kitchen  n. 厨房 
knee  n. 膝盖 
knife  (复 knives) n.小刀;匕首;刀片 
knock  n.& v. 敲；打；击 
know(knew,known)  v. 知道，了解；认识；懂得 
knowledge  n. 知识，学问 
labour (美labor)  n. 劳动 
lack  n.& vt. 缺乏，缺少 
lady  n. 女士，夫人 
lamp  n. 灯，油灯；光源 
land  n.陆地,土地v.登岸(陆)降落 
language  n. 语言 
large  a. 大的；巨大的
last  a.最近刚过去;最后的ad.最近刚过去;最后地 n.最后v.持续 
late  a.晚的,迟的ad.晚地,迟地 
laugh  n.& v. 笑，大笑；嘲笑 
laughter  n. 笑； 笑声 
law  n. 法律，法令；定律 
lawyer  n. 律师 
lay (laid, laid)  vt. 放，搁 
lead (led, led)  v. 领导，带领 n. 铅 
leader  n. 领袖，领导人 
leaf (复 leaves)  n. （树，菜）叶 
league  n. 联盟，社团 
learn (learnt, learnt；--ed --ed)  vt. 学，学习，学会 
least  n.最少，最少量 
leave (left, left)  v. 离开;把…留下，剩下 
left  a.左边的 ad.向左 n.左,左边 
leg  n. 腿；腿脚；支柱 
legal  a.与法律有关的，法律的
lend (lent, lent)  vt.借(出),把…借给 
length  n. 长，长度，段，节 
lesson  n. 课；功课；教训 
let (let, let)  vt. 让 
letter  n. 信；字母 
level  n. 水平线，水平 
library  n. 图书馆，图书室 
license  n. 执照，许可证 
lie (lay, lain)  v. 躺;卧;平放;位于n.& vi. 谎言; 说谎
life (复lives)  n. 生命；生涯；生活；人生；生物 
lift  v. 举起，抬起；（云、烟等）消散 n. （英）电梯 
light  n. 光，光亮；灯，灯光 vt. 点（火），点燃 a. 明亮的；轻的；浅色的 
like  prep. 像，跟…一样 vt. 喜欢，喜爱 
likely  a.很可能的 
limit  vt. 限制；减少 

Day16
line  n. 绳索，线，排，行，线路 v. 画线于，（使）成行 
link  v. 连接； 联系 
lip  n. 嘴唇 
list  n. 一览表，清单 
listen  vi. 听,仔细听 
literature  n. 文学 
literary  a. 文学的 
little (less, least)  a.小的,少的 ad. 很少地, 稍许 n.没有多少,一点 
live  vi. 生活;居住;活着 a. 活的,活着的;实况,现场（直播）的 
load  n. 担子，货物 
long  a. 长的，远 ad. 长久 
look  n. 看，瞧 v. 看，观看 v. link 看起来 
loss  n. 丧失；损耗 
lose (lost, lost)  vt. 失去，丢失 
lot  n. 许多，好些 
loud  a. 大声的 
love  n.& vt. 爱；热爱;很喜欢 
low  a.& ad. 低；矮 
luck  n. 运气，好运 
lucky  a. 运气好，侥幸 
lunch  n. 午餐，午饭 
machine  n. 机器 
mad a. 发疯的；生气的 
magazine  n. 杂志 
mail  n. 邮政,邮递 v. (美)邮寄 
mailbox  n. 邮筒；邮箱
main  a. 主要的 
major  a. 较大的；主要的 
majority  n. 大多数 
make (made,made)  vt.制造,做;使得 n. 样式；制造 
man (复men)  n. 成年男人;人类 
manager  n. 经理 
manner  n. 方式，态度，举止 
many (more, most)  pron. 许多人（或物）a. 许多的 
map  n. 地图 
mark  n.标记 vt.标明,作记号于 
market  n. 市场，集市 
marriage  n. 结婚，婚姻 
marry  v.（使）成婚，结婚 
mask  n. 口罩；面罩(具)；遮盖物 v. 戴面具；掩饰；伪装 
mass  n. 众多;大量;（复）群众 
match  vt. 使相配，使成对 n. 比赛，竞赛 n. 火柴 
material  n. 材料，原料 
matter  n. 要紧事，要紧, 事情；问题 vi. 要紧，有重大关系 
may  v.可以；也许，可能；祝愿；能够；会 
maybe  ad. 可能，大概，也许 
me  pron. 我（宾格） 
meal  n. 一餐（饭） 
mean(meant,meant)  vt.意思,意指 
meaning  n. 意思，含意 
means  n. 方法，手段；财产 
measure  v. 量 
meat  n.（猪、牛、羊等的）肉 
media  n. 大众传播媒介 
medical  a. 医学的，医疗的 
medicine  n. 药 
meet (met, met)  vt./ n. 遇见，见到 会；集会
meeting  n.会,集会,会见,汇合点 
member  n. 成员，会员 

Day17
memory  n. 回忆，记忆 
mental  a. 精神的；脑力的 
mention  n. 提及；记载 vt. 提到，说起；提名表扬 
message  n. 消息，音信 
metal  n. 金属 a. 金属制成的 
method  n. 方法，办法 
middle  n. 中间;当中;中级的 
might  v. aux. (may的过去式，助动词) 可能，也许，或许 
mile  n. 英里 
milk  n. 牛奶 vt. 挤奶 
mind  n. 思想,想法 v.介意,关心 
mine  n.矿藏,矿山vt.开采(矿物) pron. 我的 
mineral  n. 矿物质，矿物 
minority  n. 少数；少数民族 
minute  n. 分钟;一会儿，瞬间 
mirror  n. 镜子 
miss  vt. 失去，错过，缺 
Miss.  n.小姐,女士(称呼未婚妇女) 
mistake (mistook, mistaken)  n. 错误 vt. 弄错 
mistaken  a. 错误的 
mix  v. 混合，搅拌 
mixture  n. 混合物 
model  n.模型,原形,范例,模范 
Mom =Mum  n. 妈妈 
moment  n. 片刻，瞬间 
money  n. 钱；货币 
month  n. 月，月份 
moon  n. 月球；月光；月状物
more（much或many 的比较级）  a./ ad.另外的；附加的；较多的再；另外；而且；更 n. 更多的量；另外的一些 
morning  n. 早晨，上午 
most (much或many 的最高级)  a. & ad.最多 n.大部分,大多数 
mother  n. 母亲 
motor  n. 发动机，马达 
mountain(s)  n. 山，山脉 
mountainous  a. 多山的 
mouth  n. 嘴，口 
move  v. 移动，搬动，搬家 
movement  n. 运动，活动 
movie  n.（口语）电影 
Mr. (mister)  n. 先生（用于姓名前） 
Mrs. (mistress)  n. 夫人, 太太（称呼已婚妇女） 
Ms.  n. 女士(用在婚姻状况不明的女子姓名前) 
much (more，most)  a. 许多的，大量的 ad. 非常；更加 n. 许多，大量，非常 
murder  vt. 谋杀 
music  n. 音乐，乐曲 
musical  a. 音乐的，爱好音乐的 n. 音乐片 
musician  n. 音乐家，乐师 
my  pron. 我的 
myself  pron. 我自己 
name  n. 名字,姓名,名称 vt. 命名,名叫 
narrow  a. 狭窄的 
nation  n. 民族，国家 
national  a. 国家的,全国性的，民族的 
natural  a. 自然的 
nature  n. 自然, 性质，种类 
near  a. 近的 ad. 附近，邻近 prep. 在……附近，靠近 
nearby  a. 附近的 
nearly  ad. 将近，几乎 
neat  a. 整洁的；灵巧的 
necessary  a. 必需的，必要的 
neck  n. 颈，脖子 

Day18
need  n. 需要,需求aux.& v.需要,必须 
neighbour (美neighbor)  n. 邻居，邻人 
neighbourhood (美neighborhood)  n. 四邻；邻近地区 
neither  a. （两者）都不;也不 
nervous  a. 紧张不安的 
net  n. 网 
network  n. 网络，网状系统
never  ad. 决不，从来没有 
new  a. 新的；新鲜的 
news  n. 新闻，消息 
newspaper  n. 报纸 
next  a. 最近的，紧挨着的，隔壁的；下一次 ad. 随后，然后，下一步 n. 下一个人（东西） 
nice a.令人愉快;好的漂亮的 
night  n. 夜；夜间 
no  ad. 不,不是 a.没有,无,不 
No.(缩) = number  n.数字;号码 
nobody  n. 渺小人物 pron. 没有人，谁也不
none  pron.无任何东西, 无一人 
nor  conj. 也不 
normal  n.& a. 正常的（状态） 
north  a.北的;朝北的;从北来的 ad.向（在,从）北方 n.北;北方;北部 
northeast  n. 东北（部） 
northern  a. 北方的，北部的 
northwest  n. 西北 
nose  n. 鼻 
not  ad. 不，没 
note  n. 便条，笔记，注释；钞票，纸币；音符，音调 vt. 记下，记录；注意，留意 
nothing  n. 没有东西,没有什么 adv.一点也不；并不 
notice  n. 布告，通告；注意 vt. 注意，注意到 
now  ad. 现在 
nowadays  ad. 当今，现在 
nuclear  a. 原子核的，原子能的，核动力的 
number  n. 数,数字,号码,数量 
nurse  n. 护士；保育员 
object n. 物，物体；宾语 
obtain  vt. 获得；得到
obvious  a. 显然 
occupy v.占用；占有；占据；充满（时间、空间等）；占领（阵地等）
occur  vi. 发生 
o'clock n. 点钟 
of prep.(表所属,数量,) ….的
off  prep. 离开,脱离,（走）开
offer n.& vt. 提供；建议 
office  n. 办公室 
officer n. 军官;公务员,官员；警察，警官 
official n.（公司、团体或政府）官员 ,高级职员 a.官方,政府的 
often ad. 经常，常常 
oil n. 油 
oilfield  n.油田 
OK ad. （口语）好,对,不错 
old  a. 老的，旧的 
on  prep. 在…上（时），关于 ad. （穿，放…）上；接通；进行下  去；（电灯）开 
once n.& ad. 一次,一度,从前 conj. 一旦 
one pron. 一（个，只…）(pl. ones) num. 一 
only a. 惟一的，仅有的 ad. 仅仅，只，才 
onto  prep. 到…的上面 
open a.开着的,开的 vt.开,打开 
opening n. 开放，口子 
operate v. 做手术，运转；实施，负责, 经营，管理 
operation  n. 手术，操作 

Day19
opinion  n. 看法，见解 
opposite  n. 相反，对面 a. 相反的，对面的 
optimistic  a. 乐观的
or  conj. 或；就是；否则 
orange  n. 橘子，橙子，橘汁 a. 橘色的，橙色的 
order  n. 顺序 
order  vt. 定购，定货；点菜 
ordinary  a. 普通的，平常的 
organ  n. （人，动物）器官
organise(美organize)  vt. 组织 
organization n. 组织，机构 
origin  n. 起源，由来 
other  pron. 别人，别的东西 a. 别的,另外的 
otherwise ad.要不然,否则
ought v.& aux.应该，应当 
our pron.我们的 
ours pron.我们的 
ourselves  pron. 我们自己 
out ad. 出外;在外,向外;熄 
outside  n. 外面 ad. 在外面；向外面 prep. 在…外面 
over  prep. 在…上方,越过,遍及 ad. 翻倒,遍布,越过,结束 
owe vt. 欠（债等） 
own a. 自己的 v. 拥有,所有 
owner n. 物主，所有人 
package  n. （尤指包装好或密封的容器）一包，一袋，一盒 
page  n. 页，页码 
pain  n. 疼痛，疼 
paint  n.油漆 vt.油漆,粉刷,绘画 
painting  n. 油画，水彩画 
pair  n. 一双，一对 
pale  a. 苍白的，灰白的 
paper  n. 纸；报纸 
paragraph  n. （文章的）段落 
parent  n. 父(母)，双亲 
park  n. 公园 
park  vt. 停放（汽车） 
part  n. 部分；成分；角色；部件；零件 a. 局部的；部分的 v. 分离；分开；分割 
particular  a. 特殊的，个别的 
partly  ad.部分地,在一定程度上 
partner  n. 搭档，合作者 
party [?pɑ?t? n. 聚会，晚会；党派 
pass  vt. 传，递；经过；通过 
passage  n. （文章等的）一节，一段；通道；走廊 
passive  a. 被动的 
past  ad. 过 n.过去，昔日，往事 prep. 过…，走过某处 
path  n. 小道，小径 
patient  n. 病人 
pattern  n. 式样 
pay  (paid, paid) v. 付钱，给…报酬 n. 工资 
peace  n. 和平 
peaceful  a. 和平的，安宁的 
pen  n. 钢笔，笔 
pencil n. 铅笔 
penny  (英复pence) n. （英）便士；美分 
pension  n. 养老金 
people  n. 人，人们；人民 
per  prep. 每，每一 
percent  n. 百分之…… 
percentage  n. 百分率 
perfect  a. 完美的，极好的 
perform  v. 表演，履行；行动 
performance  n. 演出，表演 
performer  n. 表演者，执行者 

Day20
perhaps  ad. 可能，或 
period  n. 时期，时代 
permanent  a. 永久的，永恒的
permission  n. 允许,许可,同意 
permit  vt.许可,允许;执照 n.许可证 
person  n. 人 
personal  a. 个人的，私人的 
persuade  vt. 说服，劝说 
phone = telephone  v. 打电话 n. 电话，电话机 
photo =photograph  n. 照片
photograph  n. 照片 
photographer  n. 摄影师 
phrase  n. 短语；习惯用语 
physical  a. 身体的；物理的 
piano n. 钢琴 
pick  v. 拾起，采集；挑选 
picture n. 图片，画片，照片 
piece  n. 一块（片，张，件…） 
place  n. 地方，处所 v. 放置，安置，安排 
plan n.& v. 计划，打算 
plane  n. 飞机 
plant vt. 种植，播种 n. 植物 
plastic a. 塑料的 
plate  n. 板；片；牌；盘子；盆子 
play  v. 玩；打（球）；游戏；播放 n. 玩耍，戏剧 
please  v. 请,使人高兴,使人满意 
pleased  a. 高兴的 
pleasure  n. 高兴，愉快 
plenty  n. 充足，大量 
pocket  n. （衣服的）口袋 
point  v. 指，指向 n. 点；分数 
police  n. 警察，警务人员 
policeman (复-men)  n.警察,巡警policewoman ( -women) n.女警察 
policy  n. 政策，方针，原则
political  a. 政治的 
politician  n. 政治家 
politics  n. 政治 
pollute  vt. 污染 
pollution  n. 污染 
pool  n. 水塘，水池 
poor  a.贫穷；可怜；不好的,差的 
popular  a. 流行,大众,受欢迎的 
population  n. 人口，人数 
port  n. 港口，码头 
position  n. 位置 
positive adj.肯定的，积极的
possess  vt. 占有；拥有 
possession  n. 所有，拥有；财产，所有物 
possibility  vn. 可能，可能性 
possible  a. 可能的 
pot  n. 锅，壶，瓶，罐 
pound  n. 磅；英镑 
pour  vi. 倾泻，不断流出 
power  n. 力，动力，电力 
powerful  a. 效力大的，强有力的，强大的 
practical  a. 实际的，适用的 
practice(s)e  n. 练习 
prefer  vt.宁愿（选择）,更喜欢 
prepare  vt. 准备,预备,调制,配制 
present  a. 出现的，出席的 n. 礼物，赠品 vt. 呈奉，奉送 
presentation  n. 演示，演出 

Day21
president  n. 总统；主席 
pressure  n. 压迫,压力,压强 
pretty  a. 漂亮的，俊俏的 
prevent  vt. 防止, 预防 
previous adj.以前的 早先的
price  n. 价格，价钱 
primary  a. 初等的；初级的 
principle  n. 道德原则，法则
print  vt. 印刷 
prison  n. 监狱 
prisoner  n. 囚犯 
private  a. 私人的 
prize  n. 奖赏，奖品 
probably  ad. 很可能，大概 
problem  n. 问题，难题 
process  n./ v. 过程,加工,处理
produce  vt. 生产；制造 
product  n. 产品，制品 
production  n. 生产；制造 
professor  n. 教授 
profit  n. 利润，收益 
programme (美program) n. 节目；项目 
progress  n.进步,上进vi.进展,进行 
project  n. 工程 
promise  n.& vi. 答应，允诺 
promote  v.促进,推动,促销,晋升 
proper  a. 恰当的，合适的
properly  ad. 适当地 
protect  vt. 保护
protection  n. 保护 
prove  vt. 证明 
provide  vt. 提供
public  a.公共,公众的 n. 公众 
publish  t. 出版，发行 
pull  拉，拖 n. 拉力，引力 
pure  a. 纯的, 不掺杂的 
purpose  n. 目的，意图 
push  n.& v. 推 
put (put, put)  vt. 放，摆 
qualification  n. 资格，学历 
quality  n. 质量，性质 
quarter  n. 四分之一，一刻钟 
queen  n. 皇后，女王 
question  vt. 询问 n. 问题 
quick  a. 快；敏捷的；急剧的 ad. 快地；敏捷地；急剧地 
quiet  a. 安静的；寂静的 
quit  v. 离任，离校，戒掉
quite  ad. 完全，十分 
race  n. 种族，民族 v. （速度）竞赛，比赛 n. 赛跑，竞赛 
radio  n. 无线电，收音机 
railway  n. 铁路；铁道 
rain  n. 雨，雨水 vi. 下雨 
raise  vt. 使升高； 饲养 
range  n./ v. 变化，变动，排序
rank  n. 职衔，军衔 
rare  a. 罕见的，稀有的 
rather  ad. 相当，宁可 
reach  v. 到达，伸手(脚)够到 
read (read, read)  v. 读；朗读 
reading  n. 阅读；朗读 

Day22
ready  a. 准备好的 
real  a. 真实的，确实的 
reality  n. 现实 
realise (美realize)  vt.认识到,实现 
really v  ad. 真正地；到底；确实 
reason  vi.评理,劝说n.理由,原因 
reasonable  a. 合乎情理的 
receive  v. 收到，得到 
recent  a. 近来的，最近的 
recognise (美recognize)  vt.认出 
recommend  v. 推荐 
record  n. 记录；唱片 
recorder  n. 录音机 
red  n. 红色 a.红色的 
reduce  vt. 减少，缩减 
refer  vi. 谈到,提到,涉及,有关 
reference  n.提到,涉及,谈及,查询 
reflect  v. 反映，反射
reform  v./ n. 改革，改进，改良
refuse  vi. 拒绝，不愿 
regard  v. 把……看作 
regret  n./ vt.可惜,遗憾;痛惜;哀悼 
regular  a. 规则的，经常 
reject  v. 拒绝 
relate  vi. 有关； 涉及 
relation  n. 关系； 亲属 
relationship  n. 关系 
relax  v. （使）放松，轻松 
relevant a. 紧密相关,有意义的
relief  n. 轻松,解脱,缓和,救济 
religion  n. 宗教 
religious  a. 宗教的 
rely  v. 依赖，依靠 
remain  vt.余下,留下vi.保持,仍是 
remember  v. 记得，想起 
remind  vt. 提醒，使记起 
remove  vt. 移动，拿走，脱掉（衣服等） 
rent  n.& v. 租金 
repeat vt. 重说，重做 
replace  vt. 取代
reply  n. 回答，答复 
report  n.& v. 报道，报告 
represent  vt. 代表 
reputation  n. 名声，名誉 
request  n. 请求，要求的事物 
require  vt. 需求；要求 
requirement  n. 需要； 要求； 必要的条件 
research  n. 研究，调查 
resist  v. 抵抗；挡开 
respect  vt.& n. 尊敬，尊重 
respond  v.回答,回应,作出反应 
responsibility  n. 责任，负责
rest  n. 休息；剩余的部分，其余的人（物） vi. 休息，歇息 
restaurant  n. 饭馆, 饭店 
result  n. 结果，效果 
retire  v. 退休 
return  v. 归还
review  vt. 重新调查； 回顾； 复习 n. 复查；复习；评论 
rich  a. 富裕的，有钱的 

Day23
ride (rode, ridden)  v. 骑（马、自行车）；乘车 n. 乘车旅行 
right  n.权利 a.对,正确的 ad. 正确地,恰恰,完全地 a. 右,右边的 
ring (rang, rung)  v. （钟、铃等）响；打电话 n. 电话，铃声 n. 环形物（如环、圈、戒指等） 
rise (rose, risen)  vi. 上升，上涨 
risk  n./ v. 危险，风险，冒险
river  n. 江；河；水道；巨流 
road  n. 路，道路 
rock  n.岩石,大石头vt. 摇,摇晃 
role  n. 角色 
roll  v. 滚动, 打滚 n. 面包圈，小圆面包；卷状物 
roof  n. 屋顶，顶部 
room  n. 房间,室;空间;地方
root  n. 根，根源，起源 
rope  n. 绳，索 
rough  a. 粗糙的，粗略的 
round  ad. 转过来 prep. 环绕一周，围着 a.圆的；球形的 
row  n.（一）排,（一）行 v.划船 
royal  a. 皇家的，王室的，国王的，女王的 
rule  n. 规则,规定 vt.统治,支配 
run (ran, run)  vi. 跑，奔跑；（颜色）褪色 
rush  vi. 冲，奔跑 
sad  a. （使人）悲伤的 
sadness  n. 悲哀，忧伤 
safe  a. 安全的 n. 保险柜 
safety  n. 安全，保险 
sail  n. 航行 v. 航行，开航 
sale  n. 卖，出售 
salesgirl  n. 女售货员 
salesman  n. 男售货员 
same  n.同样的事a同样的,同一 
sand  n. 沙，沙子 
satisfy  vt. 满足，使满意 
save  vt. 救，挽救，节省 
say (said, said)  vt. 说，讲 
scene  n. （戏剧、电影等的）一场，场景，布景 
school  n. 学校 
science  n. 科学，自然科学 
scientific  a. 科学的 
scientist  n. 科学家 
score  n.& v. 得分，分数 
sea  n. 海，海洋 
search  n.& v. 搜寻，搜查 
season  n. 季；季节 
seat  n. 座位，座 
second  n.秒 num.第二a.第二的 
secret  n. 秘密，内情 
secretary  n. 秘书；书记
section  n. 段，部分，部门 
security  n. 安全，平安 
see (saw, seen)  vt. 看见，看到；领会；拜会 
seed  n. 种子 
seek (sought, sought)  vt.试图;探寻 
seem  v. 似乎，好像 
self  n. 自己，自我，自身 
sell (sold, sold) v. 卖，售 
send (sent, sent)  v. 打发，派遣；送，邮寄 
senior  a. 年长的,资深的,高年级的 n. 上级，长辈，高年级生 
sense  n. 感觉，意识 
sentence  n. 句子 
separate  v. 使分开，使分离a. 单独的，分开的 

Day24
separation  n. 分离，隔离 
serious  a.严肃的,严重的,认真的 
serve  vt. 招待（顾客等）,服务 
service  n. 服务 
session  n.一场,一节,一段时间
set (set, set)  vt. 释放，安置 n. 装备，设备 
several  pron. 几个,数个 a.若干 
severe  a.极为恶劣,十分严重的 
sex  n. 性，性别 
shadow  n. 影子, 阴影 
shake (shook, shak en)  v. （使）动摇，震动 
shall (should)  v. aux. （表示将来）将要，会；……好吗 
shape  n. 形状，外形 v. 使成型，制造，塑造 
share  vt. 分享，共同使用 
sharp  a. 锋利的，尖的 
she  pron. 她 
sheet  n. 成幅的薄片，薄板 
shelf (复 shelves)  n. 架子；搁板；格层；礁；陆架 
ship  n. 船，轮船 vi. 用船装运 
shirt  vn. 男衬衫 
shoe  n. 鞋 
shoot  (shot, shot) vt. 射击，射中，发射 n. 嫩枝；苗；芽 
shop vi. 买东西 n. 商店,车间 
shopping  n. 买东西 
short  a. 短的；矮的 
shot n. 射击，开枪，开炮，射击声；子弹 
should v. mod. 应当，应该，会 v. aux.会,应该（shall的过去时态） 
shoulder n. 肩膀,(道路的)路肩 
shout  n.& v. 喊，高声呼喊 
show n. 展示,展览（会）;演出 
show  (showed, shown 或 showed) v. 给…看,出示,显示 
shut (shut, shut) v. / n. 关上，封闭；禁闭； 
sick  a.有病,患病的,（想）呕吐 
side n. 边，旁边，面，侧面 
sight n. 情景，风景；视力 
signal  n. 信号，暗号 
silence n. 安静，沉默 
silent a. 无声的，无对话的 
similar a. 相似的，像 
simple a. 简单的，简易的 
simplify v. 使简化，使简易
since ad. 从那时以来 conj. 从…以来，…以后，由于 prep. 从…以来 
sing (sang, sung)  v. 唱，唱歌 
single a. 单一的，单个的 
sink  n. 洗涤槽；污水槽 
sink (sank, sunk)  vi. 下沉；消沉 
sister  n. 姐；妹 
sit (sat, sat)  vi. 坐 
situation n. 形势，情况 
size n. 尺寸，大小 
skill  n. 技能，技巧 
skillful a. 熟练,精湛的,灵巧的 
skin n. 皮，皮肤；兽皮 
skirt  n. 女裙 
sky n. 天；天空 
sleep n. 睡觉 
sleep (slept, slept)  vi. 睡觉 
sleepy a. 想睡的,困倦的,瞌睡的 
slight  a. 轻微的，细小的
slim  a. 苗条的，纤细的
slip n. 片，条，纸片，纸条 
slow  ad. 慢慢地，缓慢地 
small  a. 小的，少的 
smart a. 灵巧的，伶俐的；（人、服装等）时髦的，帅的 
smell (smelt, smelt 或-ed,-ed)  v. 嗅，闻到；发气味 n. 气味 

Day25
smile n.& v. 微笑 
smoke  n. 烟 v. 冒烟；吸烟 
smoker  n. 吸烟者 
smooth a. 光滑的;平坦的 
snake  n.蛇v.蛇般爬行;蜿蜒行进 
sneaker  n. （复）轻便运动鞋（美） 
sneeze v. 打喷嚏 
sniff  v. 抽鼻子（哭,患感冒时）
snow  n. 雪 vi.下雪 
snowy  a. 雪(白)的；下雪的；多(积)雪的 
so ad. 如此，这么；非常；同样 conj. 因此，所以 
soap  n. 肥皂 
social a. 社会的；社交的 
society n. 社会 
soft  a. 软的，柔和的 
software  n. 软件 
soil n. 土壤，土地 
some  a. 一些，若干；有些；某一 pron. 若干，一些 
somebody  pron. 某人；有人；有名气的人 
someone  pron. 某一个人 
something  pron. 某事；某物 
sometimes ad. 有时 
somewhere ad. 在某处 
son  n. 儿子 
song  n. 歌唱；歌曲 
soon  ad. 不久,很快,一会儿 
sorry  a. 对不起,抱歉;难过的 
sort vt. 把…分类，拣选 n. 种类，类别
sound vi.听起来,发出声音n.声音 
south a. 南(方)的；向南的；从南来的 ad. 在南方；向南方；自南方 n. 南；南方；南风；南部 
southern  a. 南部的，南方的 
space n. 空间 
speak (spoke, spoken)  v. 说，讲；谈话；发言
speaker n. 演讲人，演说家 
special a. 特别的，专门的 
specialist  n. （医学）专家，专科医生；专家；专业人员 
specific a.明确的,具体的,独特的 
speech n. 演讲 
speed  n. 速度 v. （使）加速 
spend (spent, spent)  v. 度过；花费（钱、时间等） 
sport vn. 体育运动，锻炼；(复，英)运动会 
spot  n. 斑点，污点；场所，地点 v. 沾上污渍，弄脏 
spread  v. 延伸； 展开 
spring  n. 春天,春季 n. 泉水,泉 
square  n. 广场 a. 平方的；方形的，宽而结实的（体格，肩膀）
stable  a. 稳固的，牢固的 
staff  n. 全体职工（雇员）
stage  n. 舞台；阶段 
stair  n. 楼梯 
stamp  n. 邮票 
stand  n. 站；立；停止；立场；地位；台；坛；摊  v. 站；立；起立；坐落；经受；持久
standard  n. & a. 标准（的） 
star  n. 星，恒星 
start  v. 开始，着手；出发 
state  n. 状态； 情形；国家，（美国的）州 
station  n. 站，所，车站；电台 
statement   n.声明，陈诉，说法
status  n. 法律地位（身份）
steal (stole, stolen)   vt. 偷, 窃取 
step  n.脚步,台阶,梯级 vi.走,跨步 
stick (stuck, stuck)   vi. 粘住，钉住；坚持n. 木棒（棍）,枝条
still  a.不动的,平静的ad.仍然,还 

Day26
stomach  n. 胃，胃部 
stone  n. 石头，石料 
stop  n. 停；（停车）站 v. 停，停止，阻止 
store  n. 商店 vt. 储藏，存储 
storm  n. 风暴，暴（风）雨 
story  n. 故事，小说 
straight  a. 一直的，直的 ad. 一直地，直地 
straightforward  a./ ad. 简单的，坦率的 
strange  a. 奇怪,奇特的,陌生的 
